StartTime: 2020-12-15 14:02:19.073
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	Voltage(v)	hx	hy	hz
0x50	 14:02:21.845	-0.0154	-0.0226	1.0001	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.29	4.07	304	4524	-1817
0x50	 14:02:21.845	-0.0154	-0.0226	1.0001	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.29	4.07	304	4524	-1817
0x50	 14:02:21.845	-0.0168	-0.0232	1.0009	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.29	4.07	305	4524	-1816
0x50	 14:02:21.845	-0.0168	-0.0232	1.0009	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.29	4.07	305	4524	-1816
0x50	 14:02:21.845	-0.0165	-0.0233	1.0006	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.28	4.07	305	4524	-1816
0x50	 14:02:21.853	-0.0165	-0.0233	1.0006	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.28	4.07	305	4525	-1817
0x50	 14:02:21.853	-0.0153	-0.0237	1.0000	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.28	4.07	304	4525	-1818
0x50	 14:02:21.872	-0.0153	-0.0237	1.0000	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.28	4.07	304	4524	-1818
0x50	 14:02:21.882	-0.0148	-0.0228	0.9995	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.29	4.07	304	4523	-1818
0x50	 14:02:21.882	-0.0148	-0.0228	0.9995	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.29	4.07	304	4523	-1816
0x50	 14:02:21.902	-0.0149	-0.0238	1.0005	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.30	4.07	304	4524	-1815
0x50	 14:02:21.947	-0.0149	-0.0238	1.0005	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6449	30.30	4.07	304	4524	-1815
0x50	 14:02:21.947	-0.0164	-0.0233	1.0000	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6449	30.29	4.07	304	4524	-1816
0x50	 14:02:21.947	-0.0164	-0.0233	1.0000	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6449	30.29	4.07	304	4524	-1816
0x50	 14:02:21.950	-0.0168	-0.0232	1.0009	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6449	30.33	4.07	304	4524	-1816
0x50	 14:02:21.955	-0.0168	-0.0232	1.0009	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6449	30.33	4.07	305	4525	-1817
